text,label
"Government announces new healthcare policy that will provide universal coverage to all citizens starting next year according to official statement.",REAL
"BREAKING: Scientists discover that drinking lemon water cures cancer in 24 hours, doctors hate this one trick!",FAKE
"The Federal Reserve raised interest rates by 0.25 percent today citing concerns about inflation in the economy.",REAL
"Aliens have landed in Nevada and the government is hiding it from the public, leaked documents reveal shocking truth.",FAKE
"NASA's Perseverance rover successfully collected new rock samples from the Martian surface this week scientists confirmed.",REAL
"Celebrity dies in tragic accident, you won't believe what happened next, click here to see exclusive photos now.",FAKE
"The European Union has agreed on a new climate package aimed at reducing carbon emissions by 55 percent by 2030.",REAL
"Doctors stunned as local mom uses this weird trick to lose 50 pounds in one week without diet or exercise.",FAKE
"Apple announced its quarterly earnings exceeding analyst expectations with record iPhone sales in the Asia Pacific region.",REAL
"Secret cure for diabetes hidden by big pharma finally exposed, government tries to ban this miracle herb.",FAKE
"The United Nations Security Council convened an emergency meeting to discuss the ongoing humanitarian crisis.",REAL
"5G towers are spreading coronavirus and the government knows it but refuses to take them down, leaked memo shows.",FAKE
"Stock markets closed higher today as tech stocks rallied amid positive economic indicators reported by analysts.",REAL
"Drinking bleach daily will protect you from all viruses, top scientist claims in suppressed research study.",FAKE
"The Supreme Court issued a ruling on the landmark case affecting voting rights across multiple states yesterday.",REAL
"Hollywood star reveals shocking secret about Illuminati control of the entertainment industry in tell-all interview.",FAKE
"Researchers at MIT published a new study on quantum computing breakthroughs in a peer reviewed journal this month.",REAL
"This common kitchen ingredient will whiten your teeth instantly, dentists are furious about this discovery.",FAKE
"The World Health Organization released updated guidelines on vaccine distribution for developing countries today.",REAL
"Famous billionaire gives away free money to anyone who shares this Facebook post within the next 24 hours.",FAKE
"Local officials announced infrastructure improvements to the downtown transit system funded by federal grants.",REAL
"Microchips in vaccines are tracking your every movement, whistleblower reveals government conspiracy.",FAKE
"The Department of Justice filed antitrust charges against a major technology company following a two year investigation.",REAL
"You won't believe what this 90 year old grandmother did to look 30 again, plastic surgeons hate her.",FAKE
"Climate scientists released a comprehensive report on rising sea levels and their impact on coastal communities.",REAL
"Drinking your own urine cures all diseases, ancient secret finally revealed by underground medical community.",FAKE
"The Senate passed legislation aimed at improving cybersecurity infrastructure with bipartisan support this week.",REAL
"SHOCKING: This president was actually a lizard person all along, photos prove the disturbing truth here.",FAKE
"Tesla announced expansion of its manufacturing facilities in Texas creating thousands of new jobs in the region.",REAL
"Drinking coffee gives you superpowers according to suppressed study that big tea companies don't want you to see.",FAKE
"Researchers identified a new species of deep sea fish during an expedition in the Pacific Ocean published in Nature.",REAL
"Eating this fruit before bed will make you lose 30 pounds overnight, weight loss industry trying to silence story.",FAKE
"The Federal Communications Commission proposed new regulations on broadband internet access for rural areas.",REAL
"Hidden pyramids on the moon prove ancient aliens built civilization, NASA covering up evidence for decades now.",FAKE
"Pharmaceutical company announced successful phase three clinical trials for new Alzheimer's treatment medication.",REAL
"Local woman discovers she can fly after drinking energy drink, scientists baffled by superhuman abilities.",FAKE
"The International Monetary Fund updated its global economic forecast lowering growth projections for next year.",REAL
"Vaccines contain mind control nanobots designed to make population obedient, leaked CIA documents finally exposed.",FAKE
"University researchers developed a new battery technology that could double electric vehicle range significantly.",REAL
"This water from a magic spring cures all diseases instantly, pharmaceutical giants buying up land to hide it.",FAKE
